lat,lng,s2_id
-6.1847484,106.8434887,3344472805553995776
-6.2425655,106.8511069,3344472187078705152
-2.968384,104.7333439,3331385834044653568
-2.9779414,104.7468925,3331385971483607040
-7.2692488,112.76982,3303383918585053184
-6.1930745,106.970831,3344357700430462976
-2.974313,104.7532179,3331386589958897664
-7.2569613,112.7497891,3303383059591593984
-6.0969255,106.9736255,3344521836900646912
-6.2215529,106.8211382,3344472461956612096
-7.0560739,110.3946428,3346328300145344512
-7.8125037,110.3868491,3349085428631207936
-2.9629654,104.7600701,3331386624318636032
-6.9880139,110.4554419,3346329296577757184
-7.2837447,112.7390016,3303385842730401792
-5.1100725,119.5106936,3296349621147664384
3.588245,98.661092,3472611574282190848
-6.12762,106.7587112,3344517988609949696
3.5785713,98.6881296,3472609890655010816
-2.9678937,104.7114068,3331385696605700096
-2.9786043,104.7457387,3331385971483607040
-2.9761755,104.7418393,3331385937123868672
-6.2231248,107.0714416,3344361686160113664
3.5297076,98.7248991,3472621023210242048
-7.8126203,110.3866429,3349085428631207936
-2.9229112,104.7788329,3331386967916019712
1.4838397,124.8389862,3641007552512131072
-3.0032191,104.7190276,3331430226826625024
-6.1604595,106.8147594,3344475176375943168
3.5872805,98.6743568,3472611539922452480
3.584639,98.667268,3472611574282190848
-2.96865,104.7596417,3331386589958897664
-6.1953834,106.8207952,3344472633755303936
1.4613953,124.8285468,3641007415073177600
-6.2382417,106.799817,3344469472659374080
-6.2915825,106.7996595,3344470159854141440
3.5824867,98.6716751,3472611539922452480
3.583527,98.671685,3472611539922452480
3.5902904,98.6653228,3472611574282190848
-5.1450737,119.4736144,3296321755399847936
-7.2724145,112.7428167,3303385774010925056
-7.309855,112.75955,3303384846297989120
-7.7751375,110.4144786,3349088177410277376
-6.8996979,107.6040053,3344175903054757888
-2.9752333,104.7667298,3331386555599159296
-6.2143776,106.8285639,3344472496316350464
-2.9640015,104.7491709,3331385902764130304
-7.2502931,112.764751,3303383300109762560
-7.7939187,110.3793782,3349088039971323904
-6.224947,106.8145192,3344469541378850816
-2.9739513,104.7533458,3331386589958897664
-7.258686,112.750296,3303383059591593984
-2.9846917,104.7335316,3331386005843345408
-6.224551,106.814427,3344469541378850816
-7.2354209,112.734652,3303382784713687040
-6.128812,106.7935919,3344518160408641536
3.5213438,98.621989,3472597967825797120
-2.9869287,104.7321584,3331386040203083776
-7.0320199,110.4214382,3346327956547960832
-7.0600747,110.4327876,3346331392521797632
-2.9517338,104.7614421,3331386658678374400
3.5905076,98.6610625,3472611574282190848
-5.1652596,119.4156047,3296385767592427520
-6.2610556,106.9535602,3344359246618689536
-7.2463326,112.7271107,3303382853433163776
-5.1293158,119.4312541,3296350445781385216
-5.1293158,119.4312541,3296350445781385216
-6.2022497,106.8065772,3344475382534373376
-5.1945893,119.4792889,3296322373875138560
-5.1633785,119.450623,3296321480521940992
-6.1612509,106.7794587,3344475004577251328
-6.2313752,106.8421869,3344472015280013312
